Latitude (decimal degrees):	38.346
Longitude (decimal degrees):	-0.489
Elevation (m):	30
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,0.0,0.0,13.32,1.79,0.0
20230101:0110,0.0,0.0,0.0,0.0,0.0,12.86,1.45,0.0
20230101:0210,0.0,0.0,0.0,0.0,0.0,12.73,1.17,0.0
20230101:0310,0.0,0.0,0.0,0.0,0.0,12.69,1.38,0.0
20230101:0410,0.0,0.0,0.0,0.0,0.0,12.78,1.66,0.0
20230101:0510,0.0,0.0,0.0,0.0,0.0,12.42,1.38,0.0
20230101:0610,0.0,0.0,0.0,0.0,0.0,12.11,1.45,0.0
20230101:0710,0.0,0.0,0.0,0.0,0.0,12.01,1.52,0.0
20230101:0810,115.6,86.3,66.14,1.39,7.54,12.49,1.17,0.0
20230101:0910,179.11,87.4,135.4,3.0,16.16,13.56,1.03,0.0
20230101:1010,238.76,102.3,192.57,4.32,22.95,15.35,0.34,0.0
20230101:1110,360.31,201.02,241.87,5.91,27.29,16.12,0.48,0.0
20230101:1210,577.72,506.6,220.32,7.87,28.64,17.18,0.9,0.0
20230101:1310,593.24,564.47,184.08,7.69,26.8,17.77,1.03,0.0
20230101:1410,523.55,500.59,150.06,6.28,22.03,18.04,1.45,0.0
20230101:1510,382.78,357.54,112.92,4.01,14.91,17.73,1.93,0.0
20230101:1610,115.04,103.52,52.92,1.12,6.06,17.02,1.59,0.0
20230101:1710,0.0,0.0,0.0,0.0,0.0,15.11,1.38,0.0
20230101:1810,0.0,0.0,0.0,0.0,0.0,14.45,0.97,0.0
20230101:1910,0.0,0.0,0.0,0.0,0.0,14.68,0.21,0.0
20230101:2010,0.0,0.0,0.0,0.0,0.0,14.6,0.76,0.0
20230101:2110,0.0,0.0,0.0,0.0,0.0,14.16,1.24,0.0
20230101:2210,0.0,0.0,0.0,0.0,0.0,13.08,1.66,0.0
20230101:2310,0.0,0.0,0.0,0.0,0.0,12.91,1.66,0.0
20230102:0010,0.0,0.0,0.0,0.0,0.0,12.85,1.93,0.0
20230102:0110,0.0,0.0,0.0,0.0,0.0,12.38,2.0,0.0
20230102:0210,0.0,0.0,0.0,0.0,0.0,12.27,1.93,0.0
20230102:0310,0.0,0.0,0.0,0.0,0.0,11.88,2.07,0.0
20230102:0410,0.0,0.0,0.0,0.0,0.0,11.51,2.14,0.0
20230102:0510,0.0,0.0,0.0,0.0,0.0,11.08,2.28,0.0
20230102:0610,0.0,0.0,0.0,0.0,0.0,10.83,2.07,0.0
20230102:0710,0.0,0.0,0.0,0.0,0.0,10.6,1.72,0.0
20230102:0810,230.37,224.0,62.74,1.79,7.53,11.16,1.17,0.0
20230102:0910,343.87,275.47,140.06,4.01,16.17,12.59,0.76,0.0
20230102:1010,440.41,346.4,194.1,5.84,22.99,14.6,0.41,0.0
20230102:1110,665.73,724.98,122.18,8.36,27.35,15.68,0.69,0.0
20230102:1210,687.81,744.38,128.38,8.73,28.72,16.54,1.24,0.0
20230102:1310,654.88,688.67,129.93,8.08,26.9,17.17,1.93,0.0
20230102:1410,298.45,170.37,193.98,4.68,22.15,17.42,2.34,0.0
20230102:1510,409.35,400.59,98.19,4.14,15.04,17.27,2.83,0.0
20230102:1610,66.45,50.88,45.95,0.94,6.19,16.79,2.83,0.0
20230102:1710,0.0,0.0,0.0,0.0,0.0,15.14,2.21,0.0
20230102:1810,0.0,0.0,0.0,0.0,0.0,14.58,1.66,0.0
20230102:1910,0.0,0.0,0.0,0.0,0.0,14.89,1.03,0.0
20230102:2010,0.0,0.0,0.0,0.0,0.0,14.74,0.9,0.0
20230102:2110,0.0,0.0,0.0,0.0,0.0,14.65,1.17,0.0
20230102:2210,0.0,0.0,0.0,0.0,0.0,14.32,1.72,0.0
20230102:2310,0.0,0.0,0.0,0.0,0.0,14.02,1.93,0.0
20230103:0010,0.0,0.0,0.0,0.0,0.0,13.48,1.79,0.0
20230103:0110,0.0,0.0,0.0,0.0,0.0,13.04,1.66,0.0
20230103:0210,0.0,0.0,0.0,0.0,0.0,12.79,1.66,0.0
20230103:0310,0.0,0.0,0.0,0.0,0.0,12.54,1.93,0.0
20230103:0410,0.0,0.0,0.0,0.0,0.0,12.43,1.93,0.0
20230103:0510,0.0,0.0,0.0,0.0,0.0,12.48,1.86,0.0
20230103:0610,0.0,0.0,0.0,0.0,0.0,12.43,1.86,0.0
20230103:0710,0.0,0.0,0.0,0.0,0.0,12.36,1.72,0.0
20230103:0810,119.97,92.82,64.95,1.39,7.53,12.84,1.52,0.0
20230103:0910,148.27,61.84,125.73,2.73,16.19,13.99,1.45,0.0
20230103:1010,561.63,569.49,126.73,6.66,23.03,15.8,1.1,0.0
20230103:1110,632.19,642.28,149.24,7.98,27.42,16.45,1.38,0.0
20230103:1210,672.93,726.01,130.0,8.61,28.82,17.04,1.1,0.0
20230103:1310,638.63,669.82,132.85,7.98,27.02,17.23,1.45,0.0
20230103:1410,546.74,547.75,125.26,6.38,22.28,17.36,2.07,0.0
20230103:1510,399.58,386.48,99.43,4.09,15.18,16.97,2.83,0.0
20230103:1610,176.86,176.96,52.69,1.36,6.33,16.35,2.97,0.0
20230103:1710,0.0,0.0,0.0,0.0,0.0,15.64,2.07,0.0
20230103:1810,0.0,0.0,0.0,0.0,0.0,14.83,1.45,0.0
20230103:1910,0.0,0.0,0.0,0.0,0.0,14.31,1.52,0.0
20230103:2010,0.0,0.0,0.0,0.0,0.0,13.97,1.38,0.0
20230103:2110,0.0,0.0,0.0,0.0,0.0,13.66,1.38,0.0
20230103:2210,0.0,0.0,0.0,0.0,0.0,13.35,1.24,0.0
20230103:2310,0.0,0.0,0.0,0.0,0.0,13.42,1.24,0.0
20230104:0010,0.0,0.0,0.0,0.0,0.0,12.94,1.24,0.0
20230104:0110,0.0,0.0,0.0,0.0,0.0,12.7,1.24,0.0
20230104:0210,0.0,0.0,0.0,0.0,0.0,12.5,1.59,0.0
20230104:0310,0.0,0.0,0.0,0.0,0.0,12.04,2.0,0.0
20230104:0410,0.0,0.0,0.0,0.0,0.0,11.74,2.21,0.0
20230104:0510,0.0,0.0,0.0,0.0,0.0,11.39,2.0,0.0
20230104:0610,0.0,0.0,0.0,0.0,0.0,11.45,1.79,0.0
20230104:0710,0.0,0.0,0.0,0.0,0.0,11.37,1.52,0.0
20230104:0810,218.45,209.05,64.14,1.75,7.54,11.78,1.38,0.0
20230104:0910,441.24,436.37,99.43,4.56,16.22,12.98,0.9,0.0
20230104:1010,553.91,548.27,139.8,6.66,23.08,14.01,0.41,0.0
20230104:1110,670.76,708.72,126.88,8.3,27.5,14.56,1.45,0.0
20230104:1210,609.07,540.44,206.08,7.99,28.92,14.9,2.07,0.0
20230104:1310,205.15,51.09,201.82,4.3,27.14,15.12,2.48,0.0
20230104:1410,581.47,594.08,111.53,6.62,22.42,15.36,2.76,0.0
20230104:1510,422.27,414.6,95.31,4.25,15.32,15.43,2.83,0.0
20230104:1610,194.68,196.55,52.92,1.45,6.47,15.01,2.9,0.0
20230104:1710,0.0,0.0,0.0,0.0,0.0,13.96,2.14,0.0
20230104:1810,0.0,0.0,0.0,0.0,0.0,12.99,1.86,0.0
20230104:1910,0.0,0.0,0.0,0.0,0.0,12.64,1.38,0.0
20230104:2010,0.0,0.0,0.0,0.0,0.0,12.25,0.97,0.0
20230104:2110,0.0,0.0,0.0,0.0,0.0,12.11,0.34,0.0
20230104:2210,0.0,0.0,0.0,0.0,0.0,12.11,0.9,0.0
20230104:2310,0.0,0.0,0.0,0.0,0.0,11.54,1.24,0.0
20230105:0010,0.0,0.0,0.0,0.0,0.0,11.39,1.31,0.0
20230105:0110,0.0,0.0,0.0,0.0,0.0,11.14,1.31,0.0
20230105:0210,0.0,0.0,0.0,0.0,0.0,10.93,1.38,0.0
20230105:0310,0.0,0.0,0.0,0.0,0.0,10.49,1.66,0.0
20230105:0410,0.0,0.0,0.0,0.0,0.0,10.3,1.72,0.0
20230105:0510,0.0,0.0,0.0,0.0,0.0,10.07,1.79,0.0
20230105:0610,0.0,0.0,0.0,0.0,0.0,9.76,1.93,0.0
20230105:0710,0.0,0.0,0.0,0.0,0.0,9.77,2.0,0.0
20230105:0810,223.46,211.66,64.44,1.77,7.55,9.79,1.86,0.0
20230105:0910,448.98,437.4,99.38,4.58,16.25,10.98,1.45,0.0
20230105:1010,591.19,614.52,114.4,6.91,23.14,12.76,0.76,0.0
20230105:1110,668.01,733.36,117.44,8.43,27.58,13.57,0.21,0.0
20230105:1210,679.84,716.93,140.88,8.7,29.03,14.47,0.9,0.0
20230105:1310,680.51,733.96,111.86,8.34,27.27,15.0,1.79,0.0
20230105:1410,577.41,587.79,115.36,6.64,22.56,15.39,2.41,0.0
20230105:1510,432.61,430.63,91.36,4.34,15.47,15.34,2.9,0.0
20230105:1610,196.26,196.8,54.09,1.48,6.62,15.01,3.24,0.0
20230105:1710,0.0,0.0,0.0,0.0,0.0,13.92,2.76,0.0
20230105:1810,0.0,0.0,0.0,0.0,0.0,12.81,2.55,0.0
20230105:1910,0.0,0.0,0.0,0.0,0.0,12.59,2.41,0.0
20230105:2010,0.0,0.0,0.0,0.0,0.0,12.57,2.07,0.0
20230105:2110,0.0,0.0,0.0,0.0,0.0,12.01,1.93,0.0
20230105:2210,0.0,0.0,0.0,0.0,0.0,11.41,2.41,0.0
20230105:2310,0.0,0.0,0.0,0.0,0.0,11.01,2.41,0.0
20230106:0010,0.0,0.0,0.0,0.0,0.0,10.96,2.55,0.0
20230106:0110,0.0,0.0,0.0,0.0,0.0,10.73,2.48,0.0
20230106:0210,0.0,0.0,0.0,0.0,0.0,10.45,2.41,0.0
20230106:0310,0.0,0.0,0.0,0.0,0.0,10.0,2.14,0.0
20230106:0410,0.0,0.0,0.0,0.0,0.0,9.54,1.93,0.0
20230106:0510,0.0,0.0,0.0,0.0,0.0,9.1,1.93,0.0
20230106:0610,0.0,0.0,0.0,0.0,0.0,8.91,1.93,0.0
20230106:0710,0.0,0.0,0.0,0.0,0.0,8.86,1.86,0.0
20230106:0810,223.16,210.7,64.18,1.77,7.57,9.15,2.0,0.0
20230106:0910,454.05,438.28,100.91,4.61,16.29,10.61,2.0,0.0
20230106:1010,611.91,626.76,111.91,7.0,23.2,12.91,2.41,0.0
20230106:1110,701.16,737.12,117.42,8.48,27.67,14.23,3.1,0.0
20230106:1210,739.24,792.63,111.65,9.06,29.15,15.18,3.66,0.0
20230106:1310,698.53,739.24,111.84,8.41,27.41,16.01,3.93,0.0
20230106:1410,596.35,611.41,108.83,6.78,22.71,16.61,4.14,0.0
20230106:1510,439.42,437.09,91.42,4.41,15.62,16.56,4.41,0.0
20230106:1610,209.46,211.54,55.34,1.57,6.77,16.15,4.62,0.0
20230106:1710,0.0,0.0,0.0,0.0,0.0,15.01,4.41,0.0
20230106:1810,0.0,0.0,0.0,0.0,0.0,13.95,4.07,0.0
20230106:1910,0.0,0.0,0.0,0.0,0.0,13.12,3.52,0.0
20230106:2010,0.0,0.0,0.0,0.0,0.0,12.45,2.97,0.0
20230106:2110,0.0,0.0,0.0,0.0,0.0,11.91,2.55,0.0
20230106:2210,0.0,0.0,0.0,0.0,0.0,11.72,2.34,0.0
20230106:2310,0.0,0.0,0.0,0.0,0.0,11.42,2.41,0.0
20230107:0010,0.0,0.0,0.0,0.0,0.0,11.29,2.21,0.0
20230107:0110,0.0,0.0,0.0,0.0,0.0,11.14,2.0,0.0
20230107:0210,0.0,0.0,0.0,0.0,0.0,10.73,2.0,0.0
20230107:0310,0.0,0.0,0.0,0.0,0.0,10.39,1.93,0.0
20230107:0410,0.0,0.0,0.0,0.0,0.0,10.21,2.0,0.0
20230107:0510,0.0,0.0,0.0,0.0,0.0,9.99,2.14,0.0
20230107:0610,0.0,0.0,0.0,0.0,0.0,9.93,2.34,0.0
20230107:0710,0.0,0.0,0.0,0.0,0.0,9.56,2.62,0.0
20230107:0810,243.59,236.64,62.17,1.86,7.59,9.85,2.9,0.0
20230107:0910,468.69,459.39,96.1,4.72,16.33,11.44,2.83,0.0
20230107:1010,619.28,636.81,109.2,7.07,23.27,13.83,3.1,0.0
20230107:1110,716.63,768.78,108.04,8.68,27.77,15.5,3.52,0.0
20230107:1210,746.1,816.19,104.76,9.22,29.27,16.69,3.66,0.0
20230107:1310,698.48,740.61,116.24,8.5,27.55,17.53,4.07,0.0
20230107:1410,605.1,622.78,109.19,6.91,22.86,17.96,4.97,0.0
20230107:1510,446.79,445.66,91.64,4.5,15.77,17.79,5.72,0.0
20230107:1610,213.21,214.91,56.89,1.63,6.93,17.23,5.72,0.0
20230107:1710,0.0,0.0,0.0,0.0,0.0,16.03,5.24,0.0
20230107:1810,0.0,0.0,0.0,0.0,0.0,15.03,4.9,0.0
20230107:1910,0.0,0.0,0.0,0.0,0.0,14.56,4.48,0.0
20230107:2010,0.0,0.0,0.0,0.0,0.0,14.23,3.72,0.0
20230107:2110,0.0,0.0,0.0,0.0,0.0,13.65,2.97,0.0
20230107:2210,0.0,0.0,0.0,0.0,0.0,13.28,2.9,0.0
20230107:2310,0.0,0.0,0.0,0.0,0.0,12.77,3.03,0.0
20230108:0010,0.0,0.0,0.0,0.0,0.0,12.57,2.76,0.0
20230108:0110,0.0,0.0,0.0,0.0,0.0,12.29,2.76,0.0
20230108:0210,0.0,0.0,0.0,0.0,0.0,12.13,2.97,0.0
20230108:0310,0.0,0.0,0.0,0.0,0.0,12.04,3.17,0.0
20230108:0410,0.0,0.0,0.0,0.0,0.0,11.98,3.31,0.0
20230108:0510,0.0,0.0,0.0,0.0,0.0,12.12,3.66,0.0
20230108:0610,0.0,0.0,0.0,0.0,0.0,12.23,3.66,0.0
20230108:0710,0.0,0.0,0.0,0.0,0.0,12.25,3.45,0.0
20230108:0810,22.63,3.36,36.92,0.74,7.62,12.78,3.66,0.0
20230108:0910,151.71,63.12,126.75,2.77,16.39,13.36,3.79,0.0
20230108:1010,87.93,1.97,116.63,2.33,23.35,14.79,4.41,0.0
20230108:1110,234.29,70.87,213.98,4.67,27.88,15.9,5.38,0.0
20230108:1210,80.59,0.0,110.9,2.21,29.4,16.66,5.86,0.0
20230108:1310,89.74,0.0,121.81,2.42,27.7,17.27,6.14,0.0
20230108:1410,179.11,53.49,171.47,3.69,23.02,18.96,6.34,0.0
20230108:1510,70.94,9.13,91.55,1.86,15.94,19.44,6.34,0.0
20230108:1610,76.8,56.28,53.46,1.12,7.09,19.29,6.41,0.0
20230108:1710,0.0,0.0,0.0,0.0,0.0,18.84,6.07,0.0
20230108:1810,0.0,0.0,0.0,0.0,0.0,18.32,5.66,0.0
20230108:1910,0.0,0.0,0.0,0.0,0.0,17.92,5.59,0.0
20230108:2010,0.0,0.0,0.0,0.0,0.0,17.69,5.45,0.0
20230108:2110,0.0,0.0,0.0,0.0,0.0,17.08,5.24,0.0
20230108:2210,0.0,0.0,0.0,0.0,0.0,17.3,4.41,0.0
20230108:2310,0.0,0.0,0.0,0.0,0.0,17.1,4.41,0.0
20230109:0010,0.0,0.0,0.0,0.0,0.0,16.95,4.48,0.0
20230109:0110,0.0,0.0,0.0,0.0,0.0,16.78,4.69,0.0
20230109:0210,0.0,0.0,0.0,0.0,0.0,16.58,4.83,0.0
20230109:0310,0.0,0.0,0.0,0.0,0.0,16.6,4.69,0.0
20230109:0410,0.0,0.0,0.0,0.0,0.0,16.35,4.55,0.0
20230109:0510,0.0,0.0,0.0,0.0,0.0,16.37,4.14,0.0
20230109:0610,0.0,0.0,0.0,0.0,0.0,16.49,3.93,0.0
20230109:0710,0.0,0.0,0.0,0.0,0.0,16.23,3.93,0.0
20230109:0810,80.05,53.41,58.66,1.23,7.66,16.4,4.21,0.0
20230109:0910,226.51,136.96,141.89,3.36,16.45,17.46,4.41,0.0
20230109:1010,342.89,214.19,203.24,5.19,23.44,19.38,4.07,0.0
20230109:1110,575.53,502.04,201.99,7.6,27.99,20.35,4.83,0.0
20230109:1210,682.97,697.7,147.04,8.7,29.54,21.05,5.03,0.0
20230109:1310,644.98,646.14,149.59,8.12,27.86,21.4,5.1,0.0
20230109:1410,522.79,483.18,155.89,6.4,23.18,21.41,5.24,0.0
20230109:1510,375.49,339.81,119.63,4.18,16.1,21.07,5.45,0.0
20230109:1610,182.73,179.59,59.18,1.57,7.25,20.71,5.59,0.0
20230109:1710,0.0,0.0,0.0,0.0,0.0,19.74,5.1,0.0
20230109:1810,0.0,0.0,0.0,0.0,0.0,18.7,4.55,0.0
20230109:1910,0.0,0.0,0.0,0.0,0.0,17.82,4.14,0.0
20230109:2010,0.0,0.0,0.0,0.0,0.0,17.01,3.59,0.0
20230109:2110,0.0,0.0,0.0,0.0,0.0,16.05,2.76,0.0
20230109:2210,0.0,0.0,0.0,0.0,0.0,15.61,1.86,0.0
20230109:2310,0.0,0.0,0.0,0.0,0.0,14.97,2.41,0.0
20230110:0010,0.0,0.0,0.0,0.0,0.0,14.46,2.83,0.0
20230110:0110,0.0,0.0,0.0,0.0,0.0,13.88,2.69,0.0
20230110:0210,0.0,0.0,0.0,0.0,0.0,13.44,2.62,0.0
20230110:0310,0.0,0.0,0.0,0.0,0.0,13.13,2.9,0.0
20230110:0410,0.0,0.0,0.0,0.0,0.0,13.05,2.69,0.0
20230110:0510,0.0,0.0,0.0,0.0,0.0,12.91,2.62,0.0
20230110:0610,0.0,0.0,0.0,0.0,0.0,12.75,2.69,0.0
20230110:0710,0.0,0.0,0.0,0.0,0.0,12.61,2.69,0.0
20230110:0810,227.09,222.04,61.42,1.83,7.7,12.63,2.69,0.0
20230110:0910,456.8,456.03,93.43,4.72,16.51,14.18,2.55,0.0
20230110:1010,611.21,642.27,105.62,7.14,23.53,16.2,2.69,0.0
20230110:1110,698.85,746.94,113.8,8.63,28.11,17.51,3.66,0.0
20230110:1210,719.74,773.91,118.66,9.08,29.69,18.55,3.79,0.0
20230110:1310,692.4,753.23,109.68,8.63,28.02,19.31,3.38,0.0
20230110:1410,595.26,634.05,103.89,7.03,23.35,19.81,3.03,0.0
20230110:1510,442.65,456.56,89.23,4.65,16.27,19.94,2.97,0.0
20230110:1610,222.36,230.58,56.46,1.77,7.42,19.59,3.17,0.0
20230110:1710,0.0,0.0,0.0,0.0,0.0,18.27,3.52,0.0
20230110:1810,0.0,0.0,0.0,0.0,0.0,17.21,2.83,0.0
20230110:1910,0.0,0.0,0.0,0.0,0.0,16.24,2.21,0.0
20230110:2010,0.0,0.0,0.0,0.0,0.0,15.8,1.93,0.0
20230110:2110,0.0,0.0,0.0,0.0,0.0,15.18,2.21,0.0
20230110:2210,0.0,0.0,0.0,0.0,0.0,14.38,2.41,0.0
20230110:2310,0.0,0.0,0.0,0.0,0.0,13.83,2.62,0.0
20230111:0010,0.0,0.0,0.0,0.0,0.0,13.19,2.83,0.0
20230111:0110,0.0,0.0,0.0,0.0,0.0,12.86,3.03,0.0
20230111:0210,0.0,0.0,0.0,0.0,0.0,12.48,3.1,0.0
20230111:0310,0.0,0.0,0.0,0.0,0.0,12.06,3.24,0.0
20230111:0410,0.0,0.0,0.0,0.0,0.0,12.0,3.31,0.0
20230111:0510,0.0,0.0,0.0,0.0,0.0,11.76,3.31,0.0
20230111:0610,0.0,0.0,0.0,0.0,0.0,11.53,3.38,0.0
20230111:0710,0.0,0.0,0.0,0.0,0.0,11.74,3.66,0.0
20230111:0810,232.87,226.86,61.8,1.86,7.75,12.17,3.86,0.0
20230111:0910,465.58,462.8,92.08,4.77,16.58,14.01,3.79,0.0
20230111:1010,618.6,643.8,103.85,7.16,23.63,16.41,4.14,0.0
20230111:1110,710.29,759.21,109.54,8.72,28.24,17.75,4.62,0.0
20230111:1210,732.75,785.83,115.91,9.19,29.84,18.63,4.76,0.0
20230111:1310,697.53,755.92,107.91,8.66,28.19,19.16,3.93,0.0
20230111:1410,589.1,619.29,110.29,7.02,23.53,19.47,2.9,0.0
20230111:1510,441.89,459.89,88.93,4.7,16.45,20.2,2.21,0.0
20230111:1610,175.72,166.46,63.78,1.63,7.59,19.03,1.79,0.0
20230111:1710,0.0,0.0,0.0,0.0,0.0,17.8,1.24,0.0
20230111:1810,0.0,0.0,0.0,0.0,0.0,16.62,1.59,0.0
20230111:1910,0.0,0.0,0.0,0.0,0.0,15.6,2.14,0.0
20230111:2010,0.0,0.0,0.0,0.0,0.0,14.97,2.28,0.0
20230111:2110,0.0,0.0,0.0,0.0,0.0,14.28,2.21,0.0
20230111:2210,0.0,0.0,0.0,0.0,0.0,14.45,0.97,0.0
20230111:2310,0.0,0.0,0.0,0.0,0.0,13.93,1.52,0.0
20230112:0010,0.0,0.0,0.0,0.0,0.0,13.64,2.0,0.0
20230112:0110,0.0,0.0,0.0,0.0,0.0,13.46,1.79,0.0
20230112:0210,0.0,0.0,0.0,0.0,0.0,13.14,1.72,0.0
20230112:0310,0.0,0.0,0.0,0.0,0.0,13.0,1.72,0.0
20230112:0410,0.0,0.0,0.0,0.0,0.0,12.83,1.72,0.0
20230112:0510,0.0,0.0,0.0,0.0,0.0,12.84,1.24,0.0
20230112:0610,0.0,0.0,0.0,0.0,0.0,12.69,1.24,0.0
20230112:0710,0.0,0.0,0.0,0.0,0.0,12.61,1.1,0.0
20230112:0810,222.53,218.39,62.15,1.84,7.81,12.84,0.97,0.0
20230112:0910,448.67,453.88,94.28,4.76,16.66,14.05,0.9,0.0
20230112:1010,598.17,641.31,104.96,7.18,23.74,15.26,0.9,0.0
20230112:1110,680.65,745.5,114.61,8.68,28.38,15.62,1.1,0.0
20230112:1210,717.21,784.87,115.51,9.21,30.0,16.08,1.93,0.0
20230112:1310,688.59,734.54,117.06,8.61,28.36,16.37,2.69,0.0
20230112:1410,599.62,620.12,109.87,7.05,23.71,16.51,3.17,0.0
20230112:1510,444.07,440.92,94.85,4.67,16.63,16.54,3.66,0.0
20230112:1610,233.43,235.35,59.1,1.88,7.77,16.01,4.0,0.0
20230112:1710,0.0,0.0,0.0,0.0,0.0,15.35,3.31,0.0
20230112:1810,0.0,0.0,0.0,0.0,0.0,14.68,2.62,0.0
20230112:1910,0.0,0.0,0.0,0.0,0.0,14.09,2.34,0.0
20230112:2010,0.0,0.0,0.0,0.0,0.0,13.51,2.34,0.0
20230112:2110,0.0,0.0,0.0,0.0,0.0,12.91,2.48,0.0
20230112:2210,0.0,0.0,0.0,0.0,0.0,12.64,2.76,0.0
20230112:2310,0.0,0.0,0.0,0.0,0.0,12.47,2.83,0.0
20230113:0010,0.0,0.0,0.0,0.0,0.0,12.3,2.83,0.0
20230113:0110,0.0,0.0,0.0,0.0,0.0,12.01,2.76,0.0
20230113:0210,0.0,0.0,0.0,0.0,0.0,11.63,2.69,0.0
20230113:0310,0.0,0.0,0.0,0.0,0.0,11.15,2.9,0.0
20230113:0410,0.0,0.0,0.0,0.0,0.0,10.76,3.1,0.0
20230113:0510,0.0,0.0,0.0,0.0,0.0,10.51,3.38,0.0
20230113:0610,0.0,0.0,0.0,0.0,0.0,10.27,3.72,0.0
20230113:0710,0.0,0.0,0.0,0.0,0.0,10.4,3.79,0.0
20230113:0810,131.3,100.12,69.14,1.52,7.87,11.09,3.52,0.0
20230113:0910,145.08,52.86,129.24,2.79,16.75,12.58,3.1,0.0
20230113:1010,553.81,512.9,159.79,6.8,23.85,14.81,2.21,0.0
20230113:1110,684.89,746.44,120.42,8.79,28.52,16.22,1.24,0.0
20230113:1210,373.55,198.66,262.32,6.42,30.17,16.89,0.55,0.0
20230113:1310,613.58,603.22,179.7,8.25,28.55,17.09,0.48,0.0
20230113:1410,155.05,30.95,166.71,3.49,23.9,17.12,2.07,0.0
20230113:1510,453.18,452.94,96.91,4.81,16.82,16.65,2.97,0.0
20230113:1610,247.56,253.54,58.58,1.99,7.95,16.01,3.1,0.0
20230113:1710,0.0,0.0,0.0,0.0,0.0,14.95,2.41,0.0
20230113:1810,0.0,0.0,0.0,0.0,0.0,13.72,1.66,0.0
20230113:1910,0.0,0.0,0.0,0.0,0.0,12.83,1.17,0.0
20230113:2010,0.0,0.0,0.0,0.0,0.0,12.94,0.28,0.0
20230113:2110,0.0,0.0,0.0,0.0,0.0,12.98,0.41,0.0
20230113:2210,0.0,0.0,0.0,0.0,0.0,13.0,0.97,0.0
20230113:2310,0.0,0.0,0.0,0.0,0.0,12.52,1.31,0.0
20230114:0010,0.0,0.0,0.0,0.0,0.0,11.38,1.72,0.0
20230114:0110,0.0,0.0,0.0,0.0,0.0,11.08,1.86,0.0
20230114:0210,0.0,0.0,0.0,0.0,0.0,10.76,1.59,0.0
20230114:0310,0.0,0.0,0.0,0.0,0.0,10.32,1.38,0.0
20230114:0410,0.0,0.0,0.0,0.0,0.0,10.24,2.14,0.0
20230114:0510,0.0,0.0,0.0,0.0,0.0,9.85,1.72,0.0
20230114:0610,0.0,0.0,0.0,0.0,0.0,10.0,1.38,0.0
20230114:0710,0.0,0.0,0.0,0.0,0.0,9.9,1.45,0.0
20230114:0810,257.78,259.05,59.25,2.03,7.94,10.1,1.52,0.0
20230114:0910,472.04,473.14,93.61,4.94,16.84,11.58,1.52,0.0
20230114:1010,606.9,628.29,117.41,7.27,23.97,13.65,1.38,0.0
20230114:1110,711.47,763.7,114.92,8.92,28.67,15.04,2.55,0.0
20230114:1210,748.67,802.42,117.2,9.46,30.34,16.14,3.86,0.0
20230114:1310,723.88,774.16,110.75,8.97,28.73,16.95,4.41,0.0
20230114:1410,629.48,656.1,106.53,7.4,24.09,17.51,4.69,0.0
20230114:1510,473.67,479.95,90.39,4.97,17.01,17.47,4.97,0.0
20230114:1610,254.63,261.54,58.63,2.06,8.14,17.19,5.1,0.0
20230114:1710,0.0,0.0,0.0,0.0,0.0,16.18,4.69,0.0
20230114:1810,0.0,0.0,0.0,0.0,0.0,14.91,4.41,0.0
20230114:1910,0.0,0.0,0.0,0.0,0.0,14.0,4.07,0.0
20230114:2010,0.0,0.0,0.0,0.0,0.0,13.48,3.59,0.0
20230114:2110,0.0,0.0,0.0,0.0,0.0,12.94,3.31,0.0
20230114:2210,0.0,0.0,0.0,0.0,0.0,12.5,3.38,0.0
20230114:2310,0.0,0.0,0.0,0.0,0.0,12.11,2.76,0.0
20230115:0010,0.0,0.0,0.0,0.0,0.0,11.55,2.69,0.0
20230115:0110,0.0,0.0,0.0,0.0,0.0,11.11,2.76,0.0
20230115:0210,0.0,0.0,0.0,0.0,0.0,10.73,2.83,0.0
20230115:0310,0.0,0.0,0.0,0.0,0.0,10.78,3.03,0.0
20230115:0410,0.0,0.0,0.0,0.0,0.0,10.66,3.38,0.0
20230115:0510,0.0,0.0,0.0,0.0,0.0,10.39,3.66,0.0
20230115:0610,0.0,0.0,0.0,0.0,0.0,10.4,3.79,0.0
20230115:0710,0.0,0.0,0.0,0.0,0.0,10.69,4.07,0.0
20230115:0810,209.94,193.07,67.66,1.84,8.01,11.66,4.55,0.0
20230115:0910,422.16,378.96,119.8,4.59,16.94,13.36,4.76,0.0
20230115:1010,562.51,516.15,156.36,6.84,24.1,15.79,4.69,0.0
20230115:1110,604.7,527.75,202.35,7.96,28.82,17.29,4.83,0.0
20230115:1210,744.67,797.49,115.04,9.42,30.52,18.38,5.24,0.0
20230115:1310,703.33,738.11,120.52,8.79,28.93,19.24,5.72,0.0
20230115:1410,608.98,625.83,113.36,7.25,24.29,19.96,6.0,0.0
20230115:1510,456.32,456.68,95.95,4.9,17.21,19.88,6.14,0.0
20230115:1610,245.87,253.71,58.74,2.06,8.32,19.62,5.72,0.0
20230115:1710,0.0,0.0,0.0,0.0,0.0,18.65,5.93,0.0
